Serial Number,Movie Title,Release Date,Notes,Release Month,Release Day,Release Year
262,"Ghost of the Mountains
","June 30, 2017","Disneynature release; produced by Netflix Original Documentaries and Brian Leith Productions
",June,30,2017
263,"Jagga Jasoos *
","July 14, 2017","co-production with Disney India, UTV Motion Pictures, Picture Shuru Entertainment, and Ishana Movies
",July,14,2017
264,"The Last Warrior *
","October 29, 2017","Russian film; co-production with Yellow, Black & White
",October,29,2017
265,"Coco
","November 22, 2017","co-production with Pixar Animation Studios; winner of Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",November,22,2017
266,"Expedition China
","December 27, 2017","Disneynature release; produced by Netflix Original Documentaries and Brian Leith Productions
",December,27,2017
267,"A Wrinkle in Time
","March 9, 2018","co-production with Whitaker Entertainment
",March,9,2018
268,"Incredibles 2
","June 15, 2018","co-production with Pixar Animation Studios; Nominee of the Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",June,15,2018
269,"Christopher Robin
","August 3, 2018","co-production with 2DUX²
",August,3,2018
270,"The Nutcracker and the Four Realms
","November 2, 2018","co-production with The Mark Gordon Company
",November,2,2018
271,"Ralph Breaks the Internet
","November 21, 2018","co-production with Walt Disney Animation Studios; Nominee of the Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",November,21,2018
272,"Mary Poppins Returns
","December 19, 2018","co-production with Lucamar Productions and Marc Platt Productions; Nominee of the Golden Globe Award for Best Motion Picture – Musical or Comedy
",December,19,2018
273,"Dumbo
","March 29, 2019","co-production with Tim Burton Productions, Infinite Detective Productions, and Secret Machine Entertainment
",March,29,2019
274,"Penguins
","April 17, 2019","Disneynature release; produced by Silverback Films
",April,17,2019
275,"Aladdin
","May 24, 2019","co-production with Rideback
",May,24,2019
276,"Toy Story 4
","June 21, 2019","co-production with Pixar Animation Studios; Nominee of the Golden Globe Award for Best Animated Feature Film and winner of Academy Award for Best Animated Feature
",June,21,2019
277,"The Lion King
","July 19, 2019","co-production with Fairview Entertainment; Nominee of the Golden Globe Award for Best Animated Feature Film
",July,19,2019
278,"Maleficent: Mistress of Evil
","October 18, 2019","co-production with Roth/Kirschenbaum Films
",October,18,2019
279,"Lady and the Tramp ‡
","November 12, 2019","co-production with Taylor Made; distributed by Disney+
",November,12,2019
280,"Frozen II
","November 22, 2019","co-production with Walt Disney Animation Studios; Nominee of the Golden Globe Award for Best Animated Feature Film
",November,22,2019
281,"Togo ‡
","December 20, 2019","distributed by Disney+
",December,20,2019
282,"Timmy Failure: Mistakes Were Made ‡
","February 7, 2020","co-production with Etalon Films, Slow Pony Pictures and Whitaker Entertainment; distributed by Disney+
",February,7,2020
283,"Onward
","March 6, 2020","co-production with Pixar Animation Studios; Nominee of the Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",March,6,2020
284,"Stargirl ‡
","March 13, 2020","co-production with Gotham Group and Hahnscape Entertainment; distributed by Disney+
",March,13,2020
285,"Dolphin Reef ‡
","April 3, 2020","Disneynature release; distributed by Disney+
",April,3,2020
286,"Artemis Fowl ‡
","June 12, 2020","co-production with TriBeCa Productions, Marzano Films, and TKBC; distributed by Disney+
",June,12,2020
287,"Hamilton ‡
","July 3, 2020","co-production with 5000 Broadway Productions, Nevis Productions, Old 320 Sycamore Pictures and RadicalMedia; distributed by Disney+; nominee of the Golden Globe Award for Best Motion Picture – Musical or Comedy
",July,3,2020
288,"Black Is King ‡
","July 31, 2020","co-production with Parkwood Entertainment; distributed by Disney+
",July,31,2020
289,"Magic Camp ‡
","August 14, 2020","co-production with Team Todd; distributed by Disney+
",August,14,2020
290,"The One and Only Ivan ‡
","August 21, 2020","co-production with Jolie Pas Productions and Allison Shearmur Productions; distributed by Disney+
",August,21,2020
291,"Mulan †
","September 4, 2020","co-production with Jason T. Reed Productions and Good Fear Productions; distributed by Disney+
",September,4,2020
292,"Godmothered ‡
","December 4, 2020","co-production with The Montecito Picture Company; distributed by Disney+
",December,4,2020
293,"Safety ‡
","December 11, 2020","co-production with Mayhem Pictures and Select Films; distributed by Disney+
",December,11,2020
294,"Soul ‡
","December 25, 2020","co-production with Pixar Animation Studios; distributed by Disney+; winner of Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",December,25,2020
295,"The Last Warrior: Root of Evil *
","January 1, 2021","Russian film; co-production with Yellow, Black & White, Cinema Fund Russia, and Russia-1
",January,1,2021
296,"Flora & Ulysses ‡
","February 19, 2021","co-production with Netter Productions; distributed by Disney+
",February,19,2021
297,"Raya and the Last Dragon §
","March 5, 2021","co-production with Walt Disney Animation Studios; Nominee of the Academy Award for Best Animated Feature and Golden Globe Award for Best Animated Feature Film
",March,5,2021
298,"Cruella §
","May 28, 2021","co-production with Gunn Films and Marc Platt Productions
",May,28,2021
302,"Diary of a Wimpy Kid ‡
","December 3, 2021","co-production with Bardel Entertainment; distributed by Disney+[N 17]
",December,3,2021
304,"The Ice Age Adventures of Buck Wild ‡
","January 28, 2022","distributed by Disney+[N 17]
",January,28,2022
305,"The Beatles: Get Back – The Rooftop Concert
","January 30, 2022","co-production with Apple Corps Ltd. and WingNut Films; limited IMAX engagement.
",January,30,2022
